measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Cuba,Both,All Ages,Chronic respiratory diseases,Number,2009,3507.419393,3780.515927,2964.328824
Deaths,Cuba,Both,All Ages,Chronic respiratory diseases,Percent,2009,0.040765986,0.043939434,0.034338807
Deaths,Cuba,Both,All Ages,Chronic respiratory diseases,Rate,2009,30.58879533,32.97051621,25.852411
Deaths,Cuba,Both,All Ages,Total cancers,Number,2009,22247.98699,23092.12099,20896.07332
Deaths,Cuba,Both,All Ages,Total cancers,Percent,2009,0.258580518,0.267140601,0.242833422
Deaths,Cuba,Both,All Ages,Total cancers,Rate,2009,194.0284421,201.3902769,182.2381753
Deaths,Cuba,Both,All Ages,Cardiovascular diseases,Number,2009,33154.81167,34737.2765,30522.61859
Deaths,Cuba,Both,All Ages,Cardiovascular diseases,Percent,2009,0.385347477,0.402288805,0.354177085
Deaths,Cuba,Both,All Ages,Cardiovascular diseases,Rate,2009,289.1486973,302.9496396,266.1928981
Deaths,Cuba,Both,All Ages,Diabetes mellitus,Number,2009,1695.444054,1785.756769,1584.701721
Deaths,Cuba,Both,All Ages,Diabetes mellitus,Percent,2009,0.019705499,0.020671232,0.018380306
Deaths,Cuba,Both,All Ages,Diabetes mellitus,Rate,2009,14.78625318,15.57388558,13.82045064
Deaths,Cuba,Both,All Ages,Cardiovascular diseases,Number,2010,33888.76758,35418.45092,31116.06394
Deaths,Cuba,Both,All Ages,Cardiovascular diseases,Percent,2010,0.384032138,0.401030793,0.351879631
Deaths,Cuba,Both,All Ages,Cardiovascular diseases,Rate,2010,295.558591,308.8996206,271.376644
Deaths,Cuba,Both,All Ages,Chronic respiratory diseases,Number,2010,3639.894333,3930.27219,3048.557865
Deaths,Cuba,Both,All Ages,Chronic respiratory diseases,Percent,2010,0.041247716,0.044542938,0.034521459
Deaths,Cuba,Both,All Ages,Chronic respiratory diseases,Rate,2010,31.74509187,34.27760269,26.58779092
Deaths,Cuba,Both,All Ages,Diabetes mellitus,Number,2011,1659.354825,1750.774686,1532.987701
Deaths,Cuba,Both,All Ages,Diabetes mellitus,Percent,2011,0.019380579,0.020392763,0.017917342
Deaths,Cuba,Both,All Ages,Diabetes mellitus,Rate,2011,14.47023625,15.26745392,13.3682645
Deaths,Cuba,Both,All Ages,Total cancers,Number,2010,22863.53135,23699.01432,21491.97168
Deaths,Cuba,Both,All Ages,Total cancers,Percent,2010,0.259093057,0.267797618,0.243712198
Deaths,Cuba,Both,All Ages,Total cancers,Rate,2010,199.40274,206.6893481,187.4407753
Deaths,Cuba,Both,All Ages,Cardiovascular diseases,Number,2011,32388.49457,34001.26019,29436.66474
Deaths,Cuba,Both,All Ages,Cardiovascular diseases,Percent,2011,0.378287254,0.396766961,0.3450836
Deaths,Cuba,Both,All Ages,Cardiovascular diseases,Rate,2011,282.4405974,296.5045572,256.6994633
Deaths,Cuba,Both,All Ages,Diabetes mellitus,Number,2010,1754.720992,1844.649172,1629.919978
Deaths,Cuba,Both,All Ages,Diabetes mellitus,Percent,2010,0.019884774,0.020869084,0.018513038
Deaths,Cuba,Both,All Ages,Diabetes mellitus,Rate,2010,15.30368027,16.0879828,14.21523668
Deaths,Cuba,Both,All Ages,Chronic respiratory diseases,Number,2011,3586.792746,3890.013067,2970.889548
Deaths,Cuba,Both,All Ages,Chronic respiratory diseases,Percent,2011,0.041892158,0.045355214,0.034837029
Deaths,Cuba,Both,All Ages,Chronic respiratory diseases,Rate,2011,31.27826407,33.92246627,25.9073424
Deaths,Cuba,Both,All Ages,Total cancers,Number,2011,22313.39665,23252.05912,20837.12978
Deaths,Cuba,Both,All Ages,Total cancers,Percent,2011,0.260610758,0.270641564,0.243491171
Deaths,Cuba,Both,All Ages,Total cancers,Rate,2011,194.581723,202.7672343,181.7080868
