measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Cuba,Both,All Ages,Tuberculosis,Number,2010,943.8097874,1114.278437,807.0403935
Incidence,Cuba,Both,All Ages,Tuberculosis,Percent,2010,1.48E-05,1.76E-05,1.26E-05
Incidence,Cuba,Both,All Ages,Tuberculosis,Rate,2010,8.231373132,9.718103913,7.038548127
Incidence,Cuba,Both,All Ages,Malaria,Number,2010,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Percent,2010,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Rate,2010,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Number,2009,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Percent,2009,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Rate,2009,0,0,0
Incidence,Cuba,Both,All Ages,Tuberculosis,Number,2009,957.7295526,1124.653675,818.0099181
Incidence,Cuba,Both,All Ages,Tuberculosis,Percent,2009,1.50E-05,1.78E-05,1.28E-05
Incidence,Cuba,Both,All Ages,Tuberculosis,Rate,2009,8.352520752,9.808294145,7.134002285
Incidence,Cuba,Both,All Ages,Malaria,Number,2012,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Percent,2012,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Rate,2012,0,0,0
Incidence,Cuba,Both,All Ages,Tuberculosis,Number,2012,865.5057066,1014.885145,742.9340157
Incidence,Cuba,Both,All Ages,Tuberculosis,Percent,2012,1.35E-05,1.59E-05,1.16E-05
Incidence,Cuba,Both,All Ages,Tuberculosis,Rate,2012,7.547458712,8.850090384,6.478598312
Incidence,Cuba,Both,All Ages,Malaria,Number,2011,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Percent,2011,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Rate,2011,0,0,0
Incidence,Cuba,Both,All Ages,Tuberculosis,Number,2011,914.3004514,1075.554955,782.7592433
Incidence,Cuba,Both,All Ages,Tuberculosis,Percent,2011,1.43E-05,1.68E-05,1.22E-05
Incidence,Cuba,Both,All Ages,Tuberculosis,Rate,2011,7.973064791,9.379268415,6.825972964
Incidence,Cuba,Both,All Ages,Tuberculosis,Number,2013,808.7490646,943.99282,696.8384014
Incidence,Cuba,Both,All Ages,Tuberculosis,Percent,2013,1.26E-05,1.50E-05,1.08E-05
Incidence,Cuba,Both,All Ages,Tuberculosis,Rate,2013,7.054682825,8.234408206,6.07849099
Incidence,Cuba,Both,All Ages,Malaria,Number,2013,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Percent,2013,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Rate,2013,0,0,0
Incidence,Cuba,Both,All Ages,Tuberculosis,Number,2014,755.766775,881.4473311,650.860963
Incidence,Cuba,Both,All Ages,Tuberculosis,Percent,2014,1.18E-05,1.39E-05,1.01E-05
Incidence,Cuba,Both,All Ages,Tuberculosis,Rate,2014,6.595375041,7.692155727,5.679890004
Incidence,Cuba,Both,All Ages,Malaria,Number,2015,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Percent,2015,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Rate,2015,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Number,2014,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Percent,2014,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Rate,2014,0,0,0
Incidence,Cuba,Both,All Ages,Tuberculosis,Number,2015,718.2428821,840.9857839,620.1684621
Incidence,Cuba,Both,All Ages,Tuberculosis,Percent,2015,1.12E-05,1.32E-05,9.62E-06
Incidence,Cuba,Both,All Ages,Tuberculosis,Rate,2015,6.272247541,7.34413267,5.41578651
Incidence,Cuba,Both,All Ages,Tuberculosis,Number,2016,692.0756196,806.4016634,598.6843112
Incidence,Cuba,Both,All Ages,Tuberculosis,Percent,2016,1.08E-05,1.27E-05,9.30E-06
Incidence,Cuba,Both,All Ages,Tuberculosis,Rate,2016,6.051188626,7.050802594,5.234618287
Incidence,Cuba,Both,All Ages,Malaria,Number,2016,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Percent,2016,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Rate,2016,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Number,2017,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Percent,2017,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Rate,2017,0,0,0
Incidence,Cuba,Both,All Ages,Tuberculosis,Number,2017,674.3322126,788.3208518,582.6538384
Incidence,Cuba,Both,All Ages,Tuberculosis,Percent,2017,1.05E-05,1.23E-05,9.00E-06
Incidence,Cuba,Both,All Ages,Tuberculosis,Rate,2017,5.907401365,6.905984304,5.104264658
Incidence,Cuba,Both,All Ages,Tuberculosis,Number,2019,670.6772305,784.6768831,578.494336
Incidence,Cuba,Both,All Ages,Tuberculosis,Percent,2019,1.04E-05,1.22E-05,8.90E-06
Incidence,Cuba,Both,All Ages,Tuberculosis,Rate,2019,5.90462319,6.908272877,5.093047619
Incidence,Cuba,Both,All Ages,Malaria,Number,2019,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Percent,2019,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Rate,2019,0,0,0
